School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,X9535,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,1 Junius street,Brooklyn,NY,11207,1010794,185183
2018-2019,X9536,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9538,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,257 Canal Road,Pelham,NY,10803,1034571.398,265681.0056
2018-2019,X954,D2D,Mini-Wagon,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,X9540,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9541,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9542,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9545,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9546,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9547,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9548,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X955,D2D,Mini-Wagon,12/18/2018,IL,LITTLE LISA BUS CO. INC.,"LITTLE LINDA BUS CO.,INC.",1310 Oak Point Avenue,bronx,NY,10474,1016116,234548
2018-2019,X9552,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9556,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9557,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9558,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X956,D2D,Mini-Wagon,43199,IL,LITTLE LISA BUS CO. INC.,"LITTLE LINDA BUS CO.,INC.",1616 Stillwell Avenue,Bronx,NY,10461,1028311,250982
