School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,Q2579,S2S AM,Standard Bus (GE),43199,LS,LORISSA BUS SERVICE INC.,BOBBY`S BUS CO. INC.,145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q2782,S2S AM,Standard Bus (GE),43199,GB,"GRANDPA`S BUS CO., INC.",BOBBY`S BUS CO. INC.,145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q3035,S2S AM,Standard Bus (GE),43199,GB,"GRANDPA`S BUS CO., INC.",BOBBY`S BUS CO. INC.,145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q428,D2D,Mini-Wagon,43199,LR,"LORINDA ENTERPRISES, LTD.","LITTLE LINDA BUS CO.,INC.",145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q480,D2D,Mini-Wagon,43353,LR,"LORINDA ENTERPRISES, LTD.","LITTLE LINDA BUS CO.,INC.",145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q830,D2D,Ramp-Wagon,11/27/2018,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",154 Sheffield Avenue,Brooklyn,NY,11207,1012729,184710
2018-2019,Q9108,S2S PM,Standard Bus (GE),09/18/2018,QL,QUALITY TRANSPORTATION CORP.,QUALITY TRANSPORTATION CORP.,612 Wortman Avenue,Brooklyn,NY,11208,1019867,180729
2018-2019,Q9116,S2S PM,Standard Bus (GE),11/13/2018,QL,QUALITY TRANSPORTATION CORP.,QUALITY TRANSPORTATION CORP.,612 Wortman Avenue,Brooklyn,NY,11208,1019867,180729
2018-2019,Q9489,S2S PM,Standard Bus (GE),43199,BB,BOBBY`S BUS CO. INC.,BOBBY`S BUS CO. INC.,145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Q949,D2D,Mini-Wagon,43199,LB,LITTLE RICHIE BUS SERVICE,"LITTLE LINDA BUS CO.,INC.",145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Y611,D2D,Non-Wheelchair Accessible Alternative (NWC),09/20/2018,VN,VAN TRANS LLC (B2192),VAN TRANS LLC (B2192),670 Hillside Road,Pelham Manor,NY,10803,1034573.799,265547.5926
2018-2019,Y612,D2D,Non-Wheelchair Accessible Alternative (NWC),43199,VN,VAN TRANS LLC (B2192),VAN TRANS LLC (B2192),670 Hillside Road,Pelham Manor,NY,10803,1034573.799,265547.5926
2018-2019,Y650,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",660 Zerega Avenue,Bronx,NY,10473,1027920,238499
2018-2019,Y652,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",660 Zerega Avenue,Bronx,NY,10473,1027920,238499
2018-2019,Y653,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",660 Zerega Avenue,Bronx,NY,10473,1027920,238499
2018-2019,Y723,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y724,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",2859 WEST 37TH STREET,BROOKLYN,NY,11224,983439,148884
2018-2019,Y725,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y726,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y728,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
